id,name
adjusted_door_arm_resolution,Adjusted Door Arm
adjusted_safety_bar_resolution,Adjusted Safety Bar
adjusted_teller_door_resolution,Adjusted Teller Door
call_cancelled_resolution,Call Cancelled
check_inspect_system_resolution,Check/Inspect System
clean_out_carrier_resolution,Clean Out Carrier
combo_change_resolution,Combo Change
could_not_duplicate_resolution,Could Not Duplicate
customer_education_resolution,Customer Education
decline_part_replacemt_resolution,DeclinePartReplacemt
extracted_carrier_resolution,Extracted Carrier
installation_job_resolution,Installation Job
made_adjustments_resolution,Made Adjustments
nd_head_pull_resolution,ND Head Pull
not_comco_eqpmnt_resolution,Not ComCo Eqpmnt
not_scope_of_work_resolution,Not Scope of Work
ordered_part_shipped_resolution,Ordered/Part Shipped
pending_cust_action_resolution,Pending Cust Action
pharm_retrvd_carrier_resolution,Pharm Retrvd Carrier
phone_fix_resolution,Phone Fix
powered_system_up_resolution,Powered System Up
preventative_maint_resolution,Preventative Maint
reinstall_reconnect_resolution,Reinstall-Reconnect
remove_dirt_build_up_resolution,Remove Dirt Build Up
removed_obstruction_resolution,Removed Obstruction
repair_recall_button_resolution,Repair Recall Button
repair_speaker_resolution,Repair Speaker
repair_call_button_wire_resolution,RepairCallButtonWire
repaired_board_resolution,Repaired board
repaired_mic_resolution,Repaired mic
repair_send_button_wire_resolution,RepairSendButtonWire
replace_blower_motor_resolution,Replace Blower Motor
replaced_audio_part_resolution,Replaced audio part
replaced_carrier_resolution,Replaced Carrier
replaced_part_resolution,Replaced Part
replaced_video_part_resolution,Replaced video part
replace_ups_pwr_suppl_resolution,ReplaceUPS/PwrSuppl
reseated_connections_resolution,Reseated Connections
reset_resolution,Reset
reset_main_av_pwr_resolution,Reset Main AV Pwr
resolved_no_parts_resolution,Resolved-No Parts
resolved_part_sent_resolution,Resolved-Part Sent
resolved_parts_used_resolution,Resolved-Parts Used
resolved_stock_parts_resolution,Resolved-Stock Parts
retrieved_carrier_resolution,Retrieved Carrier
retrived_open_carrie_resolution,Retrived Open Carrie
retrvd_overfill_carr_resolution,Retrvd Overfill Carr
teller_retrvd_carrie_resolution,Teller Retrvd Carrie
training_turnover_resolution,Training & Turnover
repaired_lock_resolution,Repaired Lock
drilled_picked_lock_resolution,Drilled/Picked Lock
rotated_locks_resolution,Rotated Locks
duplicated_keys_resolution,Duplicated Keys
