id,name
all_equipment_make,All Equipment
amer_vault_800_make,Amer Vault 800
american_vault_make,American Vault
amerVault_781_make,AmerVault 781
annunciator_sensor_make,Annunciator / Sensor
audio_authority_make,Audio Authority
bavis_autoveyor_make,Bavis Autoveyor
bavis_avcom_3000_make,Bavis Bavcom 3000
bavis_deal_drawer_make,Bavis Deal Drawer
bavis_transTrax_make,Bavis TransTrax
cancelled_make,Cancelled
com_pt_to_pt_mult_make,Com Pt to Pt / Mult.
comco_521_make,ComCo 521
comco_522_make,ComCo 522
Comco_523_make,ComCo 523
comco_550_make,ComCo 550
comco_680_make,ComCo 680
comco_880_make,ComCo 880
comco_900_make,ComCo 900
comco_900A_make,ComCo 900A
comco_900AX_make,ComCo 900AX
comco_910_make,ComCo 910
comco_G4_make,ComCo G4
comco_lift_station_make,ComCo Lift Station
comco_lts_1000_make,ComCo LTS 1000
comco_lts_900_make,ComCo LTS 900
comco_tcs_audi_Video_make,ComCo TCS Audi/Video
csi_audio_make,CSI Audio
deal_drawer_make,Deal Drawer
diebold_make,Diebold
diebold_C25_make,Diebold C25
diebold_vat_12_make,Diebold Vat 12
diebold_vat_21_make,Diebold Vat 21
diebold_vat_30_make,Diebold Vat 30
diebold_vat_7_make,Diebold Vat 7
drive_thru_make,Drive Thru
greyfield_audio_make,Greyfield Audio
ha_16_make,HA 16
HA1000_make,HA1000
HA21_make,HA21
HA33_make,HA33
hamilton_make,Hamilton
installation_job_make,Installation Job
Lanex_make,Lanex
Lefebure_make,Lefebure
Lefebure_TelAir_10_make,Lefebure TelAir 10
Lefebure_TelAir_9_make,Lefebure TelAir 9
Lefebure_TelAir_90_make,Lefebure TelAir 90
Mosler_make,Mosler
Mosler_PV_800_make,Mosler PV 800
Mosler_TRV_3_make,Mosler TRV 3
Night_Drop_make,Night Drop
Other_make,Other
Preventative_Maint_make,Preventative Maint
Security_Corp_make,Security Corp
Skillcraft_NC100_make,Skillcraft NC100
Skillcraft_NC200_make,Skillcraft NC200
Sterling_make,Sterling
Telecom_make,Telecom
Undercounter_Steel_make,Undercounter Steel
Vault_make,Vault
Skillcraft_NC500_make,Skillcraft NC500
Diebold_VAT23_make,Diebold VAT23
Diebold_VAT40_make,Diebold VAT40
Diebold_Audio_make,Diebold Audio
American_Vault_700_make,American Vault 700
American_Vault_3000_make,American Vault 3000
